,,marketConfig,,,,,,,,,loanConfig,,,underlyingConfig,,,,,collateralConfig,,,,,
Market Type,salt,treasur,maturity,lendTakerFeeRatio,lendMakerFeeRatio,borrowTakerFeeRatio,borrowMakerFeeRatio,issueFtFeeRatio,mintGtFeeRef,redeemFeeRatio,liquidationLtv,maxLtv,liquidatable,tokenAddr,name,symbol,decimals,initialPrice,tokenAddr,name,symbol,decimals,initialPrice,gtKeyIdentifier
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,94000000,90000000,TRUE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped ETH,WETH,18,1940.41,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,Wrapped eETH,weETH,18,2061.62,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,85000000,81000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,Wrapped liquid staked Ether 2.0,wstETH,18,2322.15,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,90000000,86000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,Staked USDe,sUSDe,18,1.16,GearingTokenWithERC20
Leverage,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,90000000,86000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0xb7de5dFCb74d25c2f21841fbd6230355C50d9308,PT Ethena sUSDE 29MAY2025,PT-sUSDE-29MAY2025,18,0.98,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,80000000,75000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0xd63070114470f685b75B74D60EEc7c1113d33a3D,USUAL Boosted USDC,USUALUSDC+,18,1.05,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,80000000,75000000,TRUE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped ETH,WETH,18,1940.41,0x9a8bC3B04b7f3D87cfC09ba407dCED575f2d61D8,MEV Capital wETH,MCwETH,18,1998.62,GearingTokenWithERC20
Leverage,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,94000000,92000000,TRUE,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,pufETH,18,1836.68,0x9cFc9917C171A384c7168D3529Fc7e851a2E0d6D,PT Puffer ETH 26JUN2025,PT-pufETH-26JUN2025,18,1804.97,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1748476800,2000000,2000000,3000000,3000000,1000000,2000000,0,94000000,92000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,Ethereal Pre-deposit Vault,eUSDe,18,1.00,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,94000000,90000000,TRUE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped ETH,WETH,18,1940.41,0xD9A442856C234a39a81a089C06451EBAa4306a72,pufETH,pufETH,18,2025.70,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,94000000,90000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0x80E1048eDE66ec4c364b4F22C8768fc657FF6A42,Upshift USDC,upUSDC,6,1.03,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,2000000,0,94000000,90000000,TRUE,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,USUAL,Usual,18,0.17,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,Usualx,18,0.24,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,85000000,81000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,Wrapped BTC,WBTC,8,83251.43,GearingTokenWithERC20
Borrow,0,"""0x7ab945445958819a74b48e8Bd5F9E39ed74bdE9E""",1745539200,2000000,2000000,3000000,3000000,1000000,400000,0,85000000,81000000,TRUE,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,1.00,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,Coinbase Wrapped BTC,cbBTC,8,83251.43,GearingTokenWithERC20